content,score,source,app
very good app for students help it's is useful app..... my son learn and understands easily ...Tq vedantu,5,PlayStore,Vedantu
very bad experience from vedantu store. very bad coustomer care service. I ordered neet advance book but not deliver on time even the book imhas not been shipped yet,1,PlayStore,Vedantu
ok,4,PlayStore,Vedantu
nice,5,PlayStore,Vedantu
very good classes,5,PlayStore,Vedantu
It is a nice learning app to learn more about the topic,5,PlayStore,Vedantu
very amazing app 😍💘,5,PlayStore,Vedantu
good,4,PlayStore,Vedantu
vedantu is a best online education platform for jee mains+advance,5,PlayStore,Vedantu
giving free very much,5,PlayStore,Vedantu
very comfortable,5,PlayStore,Vedantu
this was the first app where I can find easily notes but the quality of the notes should be increased they have only minimum knowledge,3,PlayStore,Vedantu
good for students,4,PlayStore,Vedantu
this app is very helpful to students daily live class with best experienced teachers this aap is also be teaching about government exams like iit jee ssc etc,3,PlayStore,Vedantu
the best,5,PlayStore,Vedantu
Nice app ☺️☺️💯💯,5,PlayStore,Vedantu
excellent 👍,5,PlayStore,Vedantu
amazing worth very much,5,PlayStore,Vedantu
"very bad service, I order a book 8 days ago book not shipped, complain not recived, not trust this app this this hang you",1,PlayStore,Vedantu
Now only I started to use vedantu and I am really happy I love the app try panuga ...✨️,5,PlayStore,Vedantu
super,5,PlayStore,Vedantu
i love veadantu,5,PlayStore,Vedantu
"I am having problem like using Vedantu in landscape mode on my tablet, it always try to be in portrait mode.",4,PlayStore,Vedantu
very very useful app. Thk u v.much.,5,PlayStore,Vedantu
The worst institute to work with. in vedantu the local managers are goondas these fellows don't know how to respect lady staff. due to these local fellows vedantu had become the worst institute in cities. these local managers don't sanction leaves to ladies as per vedantu. students just leave vedantu and join other institutions. idiots manage vedantu. any teacher pls don't join for job in vedantu and students also do not join in vedantu. no teacher & student relationship.,1,PlayStore,Vedantu
awesome,5,PlayStore,Vedantu
"Best app in all, the app. Very good app. Nice to learning Best app best best best best app",5,PlayStore,Vedantu
good platform for study,5,PlayStore,Vedantu
excellent,5,PlayStore,Vedantu
good,4,PlayStore,Vedantu
"worst platform ever I used till now I recommend everyone not to come here false promises are done no student support regarding your bach, technical support are given only dates and are given. I would like to request vedantu please learn from others platform how to be considered about their students and their problems 😞 🙏",1,PlayStore,Vedantu
From my childhood I searched these kind of teachers for explanation . Finlay i found for my daughter. Thank you Vedantu Masters. God bless you all,5,PlayStore,Vedantu
useful app,5,PlayStore,Vedantu
nice,5,PlayStore,Vedantu
it was very useful for my daughter ☺️,5,PlayStore,Vedantu
very good for future,5,PlayStore,Vedantu
it's just amazing app for students..it has plenty of material..I loved it very much,5,PlayStore,Vedantu
very gooooooooooooooood,5,PlayStore,Vedantu
I love it 🤩❤️❤️🤩,5,PlayStore,Vedantu
This app is asking otp,1,PlayStore,Vedantu
Nice app but my problem is half solve not full,5,PlayStore,Vedantu
super learning apps ❣️❣️❣️❣️❣️❣️❣️❣️❣️,5,PlayStore,Vedantu
"it is excellent for JEE mains & advance students as well as EAMCET,VITEEE, BITSAT etc ..",5,PlayStore,Vedantu
unbelievable teacher's teaching level,5,PlayStore,Vedantu
very helpfull,5,PlayStore,Vedantu
good learning app for students especially for neet and jee student,5,PlayStore,Vedantu
"In simple words,best learning app in Tamil",5,PlayStore,Vedantu
This is best 👌,5,PlayStore,Vedantu
this app is very good iam student i like this app ☺️☺️ thanks,5,PlayStore,Vedantu
it's very good for students,5,PlayStore,Vedantu
so help full,5,PlayStore,Vedantu
excllent no words,5,PlayStore,Vedantu
it's a good for learning,3,PlayStore,Vedantu
"very poor application of Vedantu. rescheduling slots of classes not visible, even if slots are open and showing in laptop. mobile app is not at all upto the mark and need to be improvised a lot. it is always not easy to have access to laptops for doing stuff. so mobile apps are very necessary.",1,PlayStore,Vedantu
best,5,PlayStore,Vedantu
very very good 💯😊,5,PlayStore,Vedantu
supper,5,PlayStore,Vedantu
🌟,5,PlayStore,Vedantu
It was very wonderful and very useful to students who are really want to get a seat in JEE,5,PlayStore,Vedantu
I really like it and this app gave me an best experience in test,5,PlayStore,Vedantu
very nice,5,PlayStore,Vedantu
Good platform for jee students,5,PlayStore,Vedantu
This app is very useful for neet preparation 👍,5,PlayStore,Vedantu
best study platform,5,PlayStore,Vedantu
good,5,PlayStore,Vedantu
"I get very much help from vedantu ,and I just loved with vedantu",3,PlayStore,Vedantu
so good,5,PlayStore,Vedantu
very useful app 👌 👍 I'm rating this app 10 on 10,5,PlayStore,Vedantu
🤮🤮🤮🤮🤮,1,PlayStore,Vedantu
"Once upon a time, this company used to be great but now it's a ghost town. It's all great until you pay then your nightmare starts. I registered my kid for English super stars group course. everything went smooth till their refund phase passed. they will assign mentor, relationship manager bla bla bla. they don't exist or atleast have no interest in replying back. main support email vcare is equally poor, no one bothered to reply. never sent any physical material. technical issues. avoid this",1,PlayStore,Vedantu
Vedantu Improving JEE Mains exam,5,PlayStore,Vedantu
ver helpful resource for students,5,PlayStore,Vedantu
excellent,5,PlayStore,Vedantu
good teacher in vedantu☺️,5,PlayStore,Vedantu
i love there lovely coaching,5,PlayStore,Vedantu
it's good 👍,5,PlayStore,Vedantu
its good,5,PlayStore,Vedantu
very useful app and teacher are teching well and many more features are in the app,5,PlayStore,Vedantu
this was the best classes for all,5,PlayStore,Vedantu
Facing some problems during live classes via teachers end not regularly but it is problem comes in a week,4,PlayStore,Vedantu
It is best app for free study I love it really.,3,PlayStore,Vedantu
very good app installed and study very interest,5,PlayStore,Vedantu
very useful app for preparing iit jee,5,PlayStore,Vedantu
i love this app,5,PlayStore,Vedantu
"Vedantu share and sell your number and name in dark web, i know this information by my Google account .",1,PlayStore,Vedantu
very nice option for students,5,PlayStore,Vedantu
shimon sir is the best 💯💪,5,PlayStore,Vedantu
thankyou very much vedantu for scoring 95.4 %,4,PlayStore,Vedantu
very useful for JEE and NEET aspirants happy to use this app.,5,PlayStore,Vedantu
Good,5,PlayStore,Vedantu
good,5,PlayStore,Vedantu
not free,1,PlayStore,Vedantu
neet needs more fire tragedies or find evergreen. not an easy joke.,5,PlayStore,Vedantu
"best app for scholars! Has many features you would love, I am glad i picked vedantu.👍",5,PlayStore,Vedantu
best,5,PlayStore,Vedantu
This a best teaching app but the max teachers talk Hindi,4,PlayStore,Vedantu
the required answers are given and notes are easy to understand,5,PlayStore,Vedantu
best platform 😀,5,PlayStore,Vedantu
Awesome application to learn something Very good teachers! overall it's a whole package 🍀✨,5,PlayStore,Vedantu
EAST AUR WEST VEDANTU IS THE BEST,5,PlayStore,Vedantu
Good,3,PlayStore,Vedantu
must trusted app for parents and students,4,PlayStore,Vedantu
i think vedantu is a life changer cause they are providing jee classes at low costs but very worth. thank you Vedantu,5,PlayStore,Vedantu
really it very helpfull how are preparation for neet and other entrance competative exam iam a neet droper i really liked vedantu free neet app☺️👍,5,PlayStore,Vedantu
it's the best of all,5,PlayStore,Vedantu
good app,5,PlayStore,Vedantu
I have chosen Vidiyal XI NEET 2027 batch which is completely worthless. cheating classes. very worst,1,PlayStore,Vedantu
good 👍,5,PlayStore,Vedantu
I hope all students are 95% score after install app ❤️,5,PlayStore,Vedantu
experience is good but you did not provide online classes whose parents are not able togive high rated fees so disscus please,4,PlayStore,Vedantu
good,5,PlayStore,Vedantu
excellent,5,PlayStore,Vedantu
best app for educational purposes 😁,5,PlayStore,Vedantu
Very useful for students for both school exams and competitive exam preparation. Very sincere teachers,5,PlayStore,Vedantu
very helpful and useful for all competitive exams,4,PlayStore,Vedantu
nice,3,PlayStore,Vedantu
simply the 👌 👍,5,PlayStore,Vedantu
this is the very good 👍 👌 because here are many contest you can buy a free demo this app have teachers to teach I love this,5,PlayStore,Vedantu
it's really good 👏👏👏❤️,4,PlayStore,Vedantu
that is correct 💯 for education,4,PlayStore,Vedantu
This is the best app for my child thankyou for founder and teachers of this appp,5,PlayStore,Vedantu
"no words best educational app, very dedicated teachers,.. but some technical issue is there",4,PlayStore,Vedantu
"I joined hostal Sri Chaitanya in my 7th they took 1 lakh and 8th 1.2 lakh, they did even completed the books that they gave as iit foundation and not even teachers are good , I didn't understand anything even all my friends I converted to days scholar and I saw krd mam teaching projectile motion on YouTube and clicked it and seeing really I understood it with full clarity and from that time by seeing classes in YouTube 🙏krd mam🙏🙏Kiran sir,🙏 and Naveen sir🙏, I completed 11 and 12 chapters",5,PlayStore,Vedantu
Nice,5,PlayStore,Vedantu
"friendly teachers, animated applauses, interesting description, clear NCERT solutions plus notes and nice online course with affordable price and study material for every subjects and for courses",5,PlayStore,Vedantu
SHIMON SIR !! 💥💥,5,PlayStore,Vedantu
super and learning was really happy,5,PlayStore,Vedantu
it is good,2,PlayStore,Vedantu
Bast perform for NEET,5,PlayStore,Vedantu
In vedantu app there are too much technical issues they are not at all responding fastly may be teaching is perfect but no classes are coming,1,PlayStore,Vedantu
Good app with best valueable resource.,5,PlayStore,Vedantu
i is awesome,5,PlayStore,Vedantu
good experience,5,PlayStore,Vedantu
thank you,5,PlayStore,Vedantu
good,5,PlayStore,Vedantu
it is one of the best app for students for their JEE / NEET and board preparations . It offers alot which is very helpful in my JEE preparation .,5,PlayStore,Vedantu
yes it's very helpful,5,PlayStore,Vedantu
Good,4,PlayStore,Vedantu
worst institute ever,1,PlayStore,Vedantu
very good 👍😊 choice,5,PlayStore,Vedantu
very useful my study,5,PlayStore,Vedantu
thank you for everything,5,PlayStore,Vedantu
good quality education but I need Explaination in kannada,4,PlayStore,Vedantu
every useful,5,PlayStore,Vedantu
good,4,PlayStore,Vedantu
very nice,5,PlayStore,Vedantu
best app i ever used,5,PlayStore,Vedantu
good,5,PlayStore,Vedantu
good,4,PlayStore,Vedantu
best learning aap,5,PlayStore,Vedantu
It was so good👍😊,5,PlayStore,Vedantu
ok,4,PlayStore,Vedantu
very easy to learn previous year question paper are from 2016 to 2020 so please give us 2025,5,PlayStore,Vedantu
I love this app a lot.,4,PlayStore,Vedantu
it's just amazing ok ok but waste,5,PlayStore,Vedantu
useful for study,5,PlayStore,Vedantu
super,5,PlayStore,Vedantu
Nice vedantu i like it so much,5,PlayStore,Vedantu
♥️♥️♥️,5,PlayStore,Vedantu
very bad app,5,PlayStore,Vedantu
good,5,PlayStore,Vedantu
i like this platform the way all teachers help us and support us ❤️,5,PlayStore,Vedantu
my experience was nice with vedantu,5,PlayStore,Vedantu
best coaching centre,5,PlayStore,Vedantu
amazing 👏,5,PlayStore,Vedantu
I can understanding twice a day of my syllabus,5,PlayStore,Vedantu
It's truly a blessing for stateboard students to crack jee,5,PlayStore,Vedantu
wow app kya aap hai,5,PlayStore,Vedantu
good for students,5,PlayStore,Vedantu
good app,4,PlayStore,Vedantu
the notes summary and description below lecture is very helpful.,5,PlayStore,Vedantu
nice app for future aspirants,5,PlayStore,Vedantu
This helps my math to get better,5,PlayStore,Vedantu
The teachers are good. Very understandable teaching!!,5,PlayStore,Vedantu
best app for students to study,5,PlayStore,Vedantu
very nice and beautiful easy and simple,5,PlayStore,Vedantu
good 👍🏻,5,PlayStore,Vedantu
good,5,PlayStore,Vedantu
helpful,5,PlayStore,Vedantu
good,5,PlayStore,Vedantu
awesome for learning,5,PlayStore,Vedantu
Good application,5,PlayStore,Vedantu
best,5,PlayStore,Vedantu
good,5,PlayStore,Vedantu
Best 👍,4,PlayStore,Vedantu
"the app is fantastic.. easy to understand concepts are there, test series is awesome 👍",5,PlayStore,Vedantu
gud,5,PlayStore,Vedantu
Best app for study,5,PlayStore,Vedantu
📖,5,PlayStore,Vedantu
bad,1,PlayStore,Vedantu
very nice😊,5,PlayStore,Vedantu
best but download pdf is not available,5,PlayStore,Vedantu
very useful and informative.,5,PlayStore,Vedantu
good one,5,PlayStore,Vedantu
IT is very good to study.,5,PlayStore,Vedantu
*it was an amazing app to study wherever and whenever. *24/7 the doubt expert are solving the doubt. *it is easy to handle.with no difficult I JUST LOVED IT TO USE 😊📚🎉🥇👌,5,PlayStore,Vedantu
"It's was really amazing,I can't belive it it really best choice for competitive exams i learn so much it helped me alot Thankyou vedantu🌷🌷💖💖✌️✌️",5,PlayStore,Vedantu
it was nice aap for studying,3,PlayStore,Vedantu
😉,5,PlayStore,Vedantu
Good,3,PlayStore,Vedantu
worst app somebody calling and forcing to join vedantu. if we say not he saying i will send mail to school about you. his name is abijit,1,PlayStore,Vedantu
very good,5,PlayStore,Vedantu
good and affordable,5,PlayStore,Vedantu
He is very important app,5,PlayStore,Vedantu
mast,5,PlayStore,Vedantu
screen shot is not possible in live class,4,PlayStore,Vedantu
very nice app,4,PlayStore,Vedantu
good,5,PlayStore,Vedantu
really that is best,5,PlayStore,Vedantu
awesome 👍,5,PlayStore,Vedantu
it is so useful for future students and ecpessially the krd mam is the queen she is very nice on teaching if I get in my tenth 600/600 I will go to vedantu tirupati mam pls bless me mam always you should be teaching to all the students,5,PlayStore,Vedantu
excellent,5,PlayStore,Vedantu
I love it,5,PlayStore,Vedantu
This is a very useful and helpful app . in this app u can ask your doubt or clear your concept. it will make easy to understand all things. or u can watch videos and then u can give test to clear the lesson. The teachers are very friendly. All I can say it's a best app I ever seen.🥰😍🥰,4,PlayStore,Vedantu
I am very much improved in my learning skills . Many of the questions are as same as in the question paper . It is very helpful for students,5,PlayStore,Vedantu
pure love 💝 vedantu,5,PlayStore,Vedantu
I love there teaching,5,PlayStore,Vedantu
thanks for you,5,PlayStore,Vedantu
happy,5,PlayStore,Vedantu
very good in training our goals,5,PlayStore,Vedantu
it's good app for students to aquare knowledge,5,PlayStore,Vedantu
"I am a student of vidiyal 2 vedantu is just awesome we are doing sums or problem with our favorite teachers they are teaching like wow shimon sir,raja sir,and siva sir they are highly experienced people so we can learn like we are playing",5,PlayStore,Vedantu
providing everything,5,PlayStore,Vedantu
good for jee neet preparation free pdf,5,PlayStore,Vedantu
Nice no lag,5,PlayStore,Vedantu
very nice,5,PlayStore,Vedantu
very good,5,PlayStore,Vedantu
Best among all,5,PlayStore,Vedantu
ok ok notes,3,PlayStore,Vedantu
dream team fantastic platform for neet aspirants,5,PlayStore,Vedantu
it's good,4,PlayStore,Vedantu
Bestt.!!!,5,PlayStore,Vedantu
It's good especially because it provides notes Free of cost,5,PlayStore,Vedantu
worst app and teaching.,1,PlayStore,Vedantu
"I'm giving it four stars only because they don't provide all the exercise questions of math. That's why, if someone is having trouble with a particular question and it's not available in the app, it's frustrating. I also think that if you're providing an answer, you should give a full explanation of it.",4,PlayStore,Vedantu
so nice 💯💯 jo padhne chahega padh sakta hai I really love 💕 this,5,PlayStore,Vedantu
it's worse because I can't study in Hindi on vedantu app,1,PlayStore,Vedantu
Too much of glitches... But still a good app for learning,3,PlayStore,Vedantu
it so good 👍😊,5,PlayStore,Vedantu
it's good,1,PlayStore,Vedantu
I like the vedantu study experience and the notes I needed much 👍🙌😊...All things on vedantu is helpful for me... Thankyou and stay always like this and give us support and help 💕💫,2,PlayStore,Vedantu
nice app,1,PlayStore,Vedantu
I love vendantu,5,PlayStore,Vedantu
it is not bad but it is as I want 💗😀😊,2,PlayStore,Vedantu
vedantu provided free study material in top quality and I must be thank you vedantu to provide Free material to poor students,5,PlayStore,Vedantu
amazing platform for students very helpful,5,PlayStore,Vedantu
free study materials available,5,PlayStore,Vedantu
Good 👍,5,PlayStore,Vedantu
it is full of helpful for studying 💯 😊...,5,PlayStore,Vedantu
super app I see in my life,4,PlayStore,Vedantu
very worst experience in vlc anna nagar 1year manthan program,1,PlayStore,Vedantu
Good app,5,PlayStore,Vedantu
because I love the master teachers who are teaching a very easy tricks to remember thank you for vedantu,5,PlayStore,Vedantu
good,5,PlayStore,Vedantu
the app stuck on where am I living,1,PlayStore,Vedantu
good,5,PlayStore,Vedantu
it's out standing,5,PlayStore,Vedantu
very useful application for students,5,PlayStore,Vedantu
free notes i like ❤️,5,PlayStore,Vedantu
satisfied 😁,5,PlayStore,Vedantu
good,5,PlayStore,Vedantu
I like this,5,PlayStore,Vedantu
this is very good but there are no live classes😞😔😔😞,5,PlayStore,Vedantu
such a nice app,5,PlayStore,Vedantu
excellent and very useful app,5,PlayStore,Vedantu
worst,1,PlayStore,Vedantu
vedantu is best it also provides notes .,5,PlayStore,Vedantu
best place for education,5,PlayStore,Vedantu
very good,4,PlayStore,Vedantu
super app for learning,5,PlayStore,Vedantu
very nice app for learning,5,PlayStore,Vedantu
very help this app and very good 👍👍😊😊 this appi am very happy 😁😁😊😊,2,PlayStore,Vedantu
amazing app for self studying 👍😄 and very good teachers team 👍😄😄 wonderful 💯😊,4,PlayStore,Vedantu
this is very good 💯,5,PlayStore,Vedantu
Simply wow.,5,PlayStore,Vedantu
easy to use and understand,5,PlayStore,Vedantu
👍,5,PlayStore,Vedantu
किंग,5,PlayStore,Vedantu
nice,5,PlayStore,Vedantu
good,5,PlayStore,Vedantu
good,4,PlayStore,Vedantu
full margin because it makes reading notes simple,5,PlayStore,Vedantu
nice experience,5,PlayStore,Vedantu
It's a good app to use for student who are studying for neet and jee.,4,PlayStore,Vedantu
very nice app,5,PlayStore,Vedantu
it is enorumous way of education,5,PlayStore,Vedantu
"My parents selected 24 May 2025 batch, but the teachers are teaching students since 14-17 May. So I am struggling to cover the syllabus of 11th JEE (The few chapters which teachers taught). Despite of selecting the batch, they did not provide me my batch live sessions or videos, now I have to go in Resources then I have to cover it. I asked my mentor for help via WhatsApp, they said, ""You can ask your doubts to SAM""(their helpline AI), and it doesn't work.",3,PlayStore,Vedantu
very good,5,PlayStore,Vedantu
very nice ☺️,5,PlayStore,Vedantu
very good,5,PlayStore,Vedantu
superb,4,PlayStore,Vedantu
very good,4,PlayStore,Vedantu
very useful app,5,PlayStore,Vedantu
good for studies,5,PlayStore,Vedantu
it help full to read,5,PlayStore,Vedantu
app is really good,5,PlayStore,Vedantu
ver good learning experience and low cost price of high experiential learning,3,PlayStore,Vedantu
good,3,PlayStore,Vedantu
i love vedantu very much because the amazing teacher,5,PlayStore,Vedantu
I am just trying it new and hoping that it will be a help for my goals. app is nice and the quizzes are helping me study for the boards and need beside my classwork studies . this saves time and stress in the time of the higher studies,5,PlayStore,Vedantu
👍👍👍👍,5,PlayStore,Vedantu
I love this app,5,PlayStore,Vedantu
I like it❤️,5,PlayStore,Vedantu
I am studying in Vidiyal batch and the teachers are teaching in the way that everyone can easily understand,4,PlayStore,Vedantu
excellent 👌🏻,5,PlayStore,Vedantu
MATHS KIRAN SIR CHEMISTRY NAVEEN SIR teaching next level. Kiran sir God of maths naveen sir God of chemistry,5,PlayStore,Vedantu
very good app,5,PlayStore,Vedantu
amazing app and best classes for neet and jee and school aspirents and students. they provide good courses in low cost is amazing 👌🏻👌🏻,5,PlayStore,Vedantu
I love vedantu...💖 because the teachers here are very talented and they are making everything easy to understand and this made me a student with crystal clear clarity on concepts (Topper)....,5,PlayStore,Vedantu
I love the online classes that I have attended in 2025 . it is really a very useful app.,4,PlayStore,Vedantu
very nice,4,PlayStore,Vedantu
This is very amazing app,5,PlayStore,Vedantu
EXCELLENT 👍 MARVULESS,5,PlayStore,Vedantu
it's extremely excellent 👌🏻,5,PlayStore,Vedantu
T his is the best app of study I am to 5/5 rating please try the this app please,5,PlayStore,Vedantu
i like this app,2,PlayStore,Vedantu
loved it,5,PlayStore,Vedantu
"everything is good content in neet manthan 2026 batch.. but I use tablet so , problem is the UI of vedantu there are lots of bugs . please push a update to fix.",1,PlayStore,Vedantu
this is a best app,5,PlayStore,Vedantu
good app for free learning mode and for clear revision notes and notes but some technical issues while using this app,4,PlayStore,Vedantu
it is very useful and helpful to us thank you vedantu love you 💕,5,PlayStore,Vedantu
nice app for quick revision and practice.,5,PlayStore,Vedantu
"wonderful experience but the app is too annoying lags a lot cannot play a replay vedio ,bugs not fixed i request vedantu to fix this its irritating",3,PlayStore,Vedantu
India's no.1 app,5,PlayStore,Vedantu
bad,1,PlayStore,Vedantu
i can't say in words,5,PlayStore,Vedantu
very helpful for iit and jee.and very good for engineering examinations,5,PlayStore,Vedantu
keeping a nice effort every day for the sake of students nice app for those who wanted to study in free environment,5,PlayStore,Vedantu
it is very useful to study,5,PlayStore,Vedantu
The best friendly app for neet and JEE,5,PlayStore,Vedantu
Best learing app,5,PlayStore,Vedantu
"Best online source for school children study material like NCERT solutions,important questions etc are provided free",5,PlayStore,Vedantu
good platform for education,5,PlayStore,Vedantu
it is very helpfull to understand the subjects with the help of interactive videos and teachers.,5,PlayStore,Vedantu
This app is very good and this has live classes you can download a video very interesting . Thank You Very Much Vedantu,5,PlayStore,Vedantu
so app is must very beautiful but this app is money take or I am sorry for not being a good time for the answer to the question of what you can expect to see thank you,2,PlayStore,Vedantu
"downloads problem not able find without any network , how to see download class's with or without internet download option",3,PlayStore,Vedantu
super,5,PlayStore,Vedantu
madhan mohan sir and krd mam are my favourites.I truly appreciate their teaching. they have made physics super easy for me.💯,4,PlayStore,Vedantu
This is very helpful they're also containing sample papers to practice it has many features I love this app I'm gonna prepare my 10th board exams in this app and see what results come to me,5,PlayStore,Vedantu
chapter I want is not in the app and the option for doubt as only taking picture and my camera is not working properly so I can't give my doubt also if there was a search option that would be really good I am not going to re- download this app ever in my life tomorrow is my exam and it has been my 1 whole hour,1,PlayStore,Vedantu
thanks vedantu free material free course,5,PlayStore,Vedantu
excellent teachers lovely teach thank you for our support,5,PlayStore,Vedantu
Easy to understand the concept.,5,PlayStore,Vedantu
wow its a nice app that I've ever seen,3,PlayStore,Vedantu
it is God Gifted for Student's,5,PlayStore,Vedantu
super app,5,PlayStore,Vedantu
Good learning but free live classes are not available now as it was before!!,4,PlayStore,Vedantu
supper,5,PlayStore,Vedantu
Vedantu is best...no one can even come near vedantu's teaching if the little app lag and UI gets improved... Best online teaching app for all the students of grade 6-12 ! edit: Vedantu has improved sooo much in the last few years !! every single demerit has been taken care of. proud to be a Vedantan since the last 4 years,5,PlayStore,Vedantu
this app is really good and helpful 👍☺️ . This app is one of the best app in all India. this app is good for students as well as for their studies.,5,PlayStore,Vedantu
It gives various of courses by your choice and don't make dissapoint and All teachers are from Experienced and from highly talented thank you,5,PlayStore,Vedantu
GOOD 😊 GOT A SATISFIED SCORE IN CLASS 10 - 476 VERY PROUD TO BE A VEDAN🔥🔥,5,PlayStore,Vedantu
it's very use full app for students,5,PlayStore,Vedantu
vedantu is an awesome app which helped me to complete crash courses of ap EAMCET and mock tests everything I loved it,5,PlayStore,Vedantu
very nice app this app provides free worksheet notes and important questions everything for study 😀👌👌👍,5,PlayStore,Vedantu
very useful and nice 👍🙂,4,PlayStore,Vedantu
"Great app for content. But I have an issue that I have purchased varadhi course today. But I don't have access to ""Doubts"" section in my varadhi course's Resources tab. It says your plan doesn't include access to unlimited doubts and it's locked.Eventhough I have purchased full course!.",4,PlayStore,Vedantu
Iam student of class 8. It is the best app for learners because it has best teachers. low money to buy demo classes in my experience.,5,PlayStore,Vedantu
the teachers are great but the lack is in app this app doesn't work its slow and hangs a lot please improve this thanks,3,PlayStore,Vedantu
"this app is obsolutely epic classes, coaching😇😇😅🥰🥰🤗thanks for vedantu jai hind jai bharat",5,PlayStore,Vedantu
it is very useful but no downlode option,5,PlayStore,Vedantu
I had a really good experience with this app it really helped me with my 10 th boards now iam following class 11 topics they provide everything that is needed for students,5,PlayStore,Vedantu
excellent app,5,PlayStore,Vedantu
"Dear Vedantu Team, I am writing to express my deep dissatisfaction with the service I have received from your platform. I enrolled for your course with the expectation of professional and reliable service, but unfortunately, my experience has been quite the opposite. Firstly, I was placed in the wrong class group, despite clearly mentioning my requirements at the time of registration. This was followed by an incorrect batch allocation, which further disrupted the learning process. I immediatel",1,PlayStore,Vedantu
this is very good aap for students,5,PlayStore,Vedantu
it helps me well,5,PlayStore,Vedantu
only for Rich kids,1,PlayStore,Vedantu
good,5,PlayStore,Vedantu
I m use for study material ✨,4,PlayStore,Vedantu
This is a good app because there are many free books or solutions,5,PlayStore,Vedantu
ti is very easy to learn children,5,PlayStore,Vedantu
it is very nice app and l like this app,5,PlayStore,Vedantu
l can't belive it,5,PlayStore,Vedantu
makes it easy to learn,5,PlayStore,Vedantu
nice,5,PlayStore,Vedantu
yes I love vedantu,5,PlayStore,Vedantu
"app is fast ,there everything you want.",5,PlayStore,Vedantu
easy to understand,5,PlayStore,Vedantu
too good,5,PlayStore,Vedantu
it takes to much time login,1,PlayStore,Vedantu
very good app,5,PlayStore,Vedantu
I salute team vedantu for making the way of success easy.,5,PlayStore,Vedantu
very helpful,5,PlayStore,Vedantu
"very excellent classes wirpth all the needful , but when i am downloading , it does not show the downloaded pdf in any of my app",3,PlayStore,Vedantu
good,5,PlayStore,Vedantu
Good,4,PlayStore,Vedantu
Good,5,PlayStore,Vedantu
nice learning app ❤,5,PlayStore,Vedantu
thanks god for making me to join in vedantu,5,PlayStore,Vedantu
ake. dam bekar app,1,PlayStore,Vedantu
good Vive,5,PlayStore,Vedantu
i love this ap,5,PlayStore,Vedantu
good,5,PlayStore,Vedantu
"Very good app, I loved it. The teachers are very good and all the things are best in all learning app or institutes",5,PlayStore,Vedantu
excellent,5,PlayStore,Vedantu
Really an amazing experience while attending the classes and tests,5,PlayStore,Vedantu
"my point of view this is the best apps for notes. this app provide us verified notes, verified NCERT solutions. means there is 100% guaranteed answer. no doubt in any question, only clear concept. simple language notes that everyone have the desire to learn. seriously, this is the best creative App designed for study. love it 😍😄",5,PlayStore,Vedantu
In this app didn't write the question's means like Mathematics - RD sharma,4,PlayStore,Vedantu
not much cannot hold many members always shows unknown error need more improve,2,PlayStore,Vedantu
it was so nice and awesome to study and understanding concepts and gave pedagology to practice pyqs,5,PlayStore,Vedantu
super App,5,PlayStore,Vedantu
High quality contents,5,PlayStore,Vedantu
vedantu is the most brilliant learning app where we are learning just like our school's but in different ways. I love the vedantu app and it is amazing.✨,5,PlayStore,Vedantu
I know that batches have very high price but I love the feee material is also very good you can get lecture test quiz and doubt for free,5,PlayStore,Vedantu
excellent app,5,PlayStore,Vedantu
very good and nice explanation,5,PlayStore,Vedantu
beautiful,5,PlayStore,Vedantu
its amazing the MT are very nice clearing all doubts live classes are really very good and interesting thing is the live quiz. I like the app thank you,5,PlayStore,Vedantu
very well,5,PlayStore,Vedantu
super education purpose very super,5,PlayStore,Vedantu
good,5,PlayStore,Vedantu
so strict,1,PlayStore,Vedantu
so good,4,PlayStore,Vedantu
Ok it's ok,3,PlayStore,Vedantu
very nice app,5,PlayStore,Vedantu
"very good and useful app,best for the students which do self study.",5,PlayStore,Vedantu
it's good app,5,PlayStore,Vedantu
good,5,PlayStore,Vedantu
best choice for future 😃,5,PlayStore,Vedantu
good experience,5,PlayStore,Vedantu
it's very good to improve tha education,5,PlayStore,Vedantu
worst platform for studies. they are just greedy of money & not bothered about student's education. worst experience I would not recommend it at all avoid it.,1,PlayStore,Vedantu
very helpful app,5,PlayStore,Vedantu
it is very excellent app i have ever seen because it provides notes ncert solutions revision notes video lectures and live classes and many more study material ❤️❤️❤️❤️😊😊,5,PlayStore,Vedantu
வெரி good,1,PlayStore,Vedantu
nice learning app,5,PlayStore,Vedantu
really awesome,5,PlayStore,Vedantu
great,5,PlayStore,Vedantu
I Love Vedantu ❤️❤️,5,PlayStore,Vedantu
average app chemistry and physics are not good,2,PlayStore,Vedantu
very good Teachers,5,PlayStore,Vedantu
like vedantu help vedantu,5,PlayStore,Vedantu
excellent that I Have Seen 👌🫡,5,PlayStore,Vedantu
Good Experience,5,PlayStore,Vedantu
i love vedantu,5,PlayStore,Vedantu
Fraud!,1,PlayStore,Vedantu
User friendly spp,5,PlayStore,Vedantu
"very very important for the students their is all available for you to study like notes, extra questions. And you can clear you doubt .",5,PlayStore,Vedantu
nice,5,PlayStore,Vedantu
❤️❤️,5,PlayStore,Vedantu
nice app for studying purpose,5,PlayStore,Vedantu
